date,symbol,marketcapname,sector
09-02-2024,ONGC,Largecap,Oils
09-02-2024,TORNTPHARM,Largecap,Pharmaceuticals
09-02-2024,AMBUJACEM,Largecap,Industrials
09-02-2024,IRCTC,Largecap,Miscellaneous
09-02-2024,HCLTECH,Largecap,I.T
09-02-2024,IRFC,Largecap,Finance
09-02-2024,INDIGO,Largecap,Services
12-02-2024,SBILIFE,Largecap,Services
12-02-2024,MARUTI,Largecap,Auto
12-02-2024,TECHM,Largecap,I.T
13-02-2024,RELIANCE,Largecap,Industrials
13-02-2024,COLPAL,Largecap,FMCG
13-02-2024,SBILIFE,Largecap,Services
13-02-2024,MARUTI,Largecap,Auto
13-02-2024,ULTRACEMCO,Largecap,Industrials
13-02-2024,TCS,Largecap,I.T
13-02-2024,VBL,Largecap,FMCG
14-02-2024,SBIN,Largecap,Bank
14-02-2024,TORNTPHARM,Largecap,Pharmaceuticals
14-02-2024,BPCL,Largecap,Industrials
14-02-2024,IOC,Largecap,Industrials
14-02-2024,HCLTECH,Largecap,I.T
14-02-2024,GODREJCP,Largecap,FMCG
14-02-2024,PFC,Largecap,Finance
14-02-2024,POWERGRID,Largecap,Miscellaneous
15-02-2024,TATACONSUM,Largecap,FMCG
15-02-2024,APOLLOHOSP,Largecap,Pharmaceuticals
15-02-2024,MOTHERSON,Largecap,Auto
15-02-2024,SBILIFE,Largecap,Services
16-02-2024,TATAMTRDVR,Largecap,Auto
16-02-2024,BEL,Largecap,Aerospace & Defence
16-02-2024,GRASIM,Largecap,Textiles
16-02-2024,RELIANCE,Largecap,Industrials
16-02-2024,TATAPOWER,Largecap,Miscellaneous
16-02-2024,AMBUJACEM,Largecap,Industrials
16-02-2024,TATASTEEL,Largecap,Metals
16-02-2024,SIEMENS,Largecap,FMCG
16-02-2024,TATAMOTORS,Largecap,Auto
16-02-2024,TATACONSUM,Largecap,FMCG
16-02-2024,SHRIRAMFIN,Largecap,Finance
16-02-2024,SBILIFE,Largecap,Services
16-02-2024,HAL,Largecap,Aerospace & Defence
16-02-2024,BANKBARODA,Largecap,Bank
16-02-2024,JINDALSTEL,Largecap,Metals
16-02-2024,PFC,Largecap,Finance
16-02-2024,DLF,Largecap,Realty
16-02-2024,ADANIPORTS,Largecap,Industrials
16-02-2024,RECLTD,Largecap,Finance
16-02-2024,ADANIPOWER,Largecap,Miscellaneous
19-02-2024,BEL,Largecap,Aerospace & Defence
19-02-2024,CIPLA,Largecap,Pharmaceuticals
19-02-2024,INFY,Largecap,I.T
19-02-2024,TRENT,Largecap,FMCG
19-02-2024,VEDL,Largecap,Industrials
19-02-2024,TATASTEEL,Largecap,Metals
19-02-2024,SIEMENS,Largecap,FMCG
19-02-2024,TATACONSUM,Largecap,FMCG
19-02-2024,SHRIRAMFIN,Largecap,Finance
19-02-2024,ADANIENT,Largecap,Services
19-02-2024,LICI,Largecap,Services
19-02-2024,MOTHERSON,Largecap,Auto
19-02-2024,SUNPHARMA,Largecap,Pharmaceuticals
19-02-2024,ICICIGI,Largecap,Services
19-02-2024,ADANIGREEN,Largecap,Miscellaneous
19-02-2024,BANKBARODA,Largecap,Bank
19-02-2024,GAIL,Largecap,Industrials
19-02-2024,ICICIBANK,Largecap,Bank
19-02-2024,JINDALSTEL,Largecap,Metals
19-02-2024,ZYDUSLIFE,Largecap,Pharmaceuticals
19-02-2024,BHARTIARTL,Largecap,Telecom
19-02-2024,PNB,Largecap,Bank
19-02-2024,CANBK,Largecap,Bank
19-02-2024,TCS,Largecap,I.T
19-02-2024,NTPC,Largecap,Miscellaneous
19-02-2024,TECHM,Largecap,I.T
19-02-2024,COALINDIA,Largecap,Industrials
20-02-2024,SBIN,Largecap,Bank
20-02-2024,TRENT,Largecap,FMCG
20-02-2024,VEDL,Largecap,Industrials
20-02-2024,ONGC,Largecap,Oils
20-02-2024,PIDILITIND,Largecap,Industrials
20-02-2024,TATAPOWER,Largecap,Miscellaneous
20-02-2024,BPCL,Largecap,Industrials
20-02-2024,SIEMENS,Largecap,FMCG
20-02-2024,COLPAL,Largecap,FMCG
20-02-2024,ICICIGI,Largecap,Services
20-02-2024,IOC,Largecap,Industrials
20-02-2024,IRCTC,Largecap,Miscellaneous
20-02-2024,HCLTECH,Largecap,I.T
20-02-2024,PNB,Largecap,Bank
20-02-2024,NTPC,Largecap,Miscellaneous
20-02-2024,POWERGRID,Largecap,Miscellaneous
20-02-2024,INDIGO,Largecap,Services
20-02-2024,VBL,Largecap,FMCG
21-02-2024,SBIN,Largecap,Bank
21-02-2024,TRENT,Largecap,FMCG
21-02-2024,VEDL,Largecap,Industrials
21-02-2024,RELIANCE,Largecap,Industrials
21-02-2024,TATAPOWER,Largecap,Miscellaneous
21-02-2024,BOSCHLTD,Largecap,Auto
21-02-2024,SIEMENS,Largecap,FMCG
21-02-2024,LICI,Largecap,Services
21-02-2024,HAL,Largecap,Aerospace & Defence
21-02-2024,IRCTC,Largecap,Miscellaneous
21-02-2024,BANKBARODA,Largecap,Bank
21-02-2024,GAIL,Largecap,Industrials
21-02-2024,PNB,Largecap,Bank
21-02-2024,CANBK,Largecap,Bank
21-02-2024,NAUKRI,Largecap,I.T
21-02-2024,IRFC,Largecap,Finance
22-02-2024,MOTHERSON,Largecap,Auto
22-02-2024,SUNPHARMA,Largecap,Pharmaceuticals
22-02-2024,UNITDSPR,Largecap,FMCG
22-02-2024,MARUTI,Largecap,Auto
23-02-2024,PIDILITIND,Largecap,Industrials
23-02-2024,JINDALSTEL,Largecap,Metals
23-02-2024,TVSMOTOR,Largecap,Auto
26-02-2024,TATAMTRDVR,Largecap,Auto
26-02-2024,ONGC,Largecap,Oils
26-02-2024,TATAPOWER,Largecap,Miscellaneous
26-02-2024,TORNTPHARM,Largecap,Pharmaceuticals
26-02-2024,BPCL,Largecap,Industrials
26-02-2024,TATAMOTORS,Largecap,Auto
26-02-2024,TATACONSUM,Largecap,FMCG
26-02-2024,WIPRO,Largecap,I.T
26-02-2024,APOLLOHOSP,Largecap,Pharmaceuticals
26-02-2024,ADANIGREEN,Largecap,Miscellaneous
26-02-2024,JINDALSTEL,Largecap,Metals
26-02-2024,TVSMOTOR,Largecap,Auto
26-02-2024,PFC,Largecap,Finance
26-02-2024,DLF,Largecap,Realty
26-02-2024,RECLTD,Largecap,Finance
26-02-2024,COALINDIA,Largecap,Industrials
26-02-2024,ZOMATO,Largecap,I.T
27-02-2024,CIPLA,Largecap,Pharmaceuticals
27-02-2024,HEROMOTOCO,Largecap,Auto
27-02-2024,ONGC,Largecap,Oils
27-02-2024,RELIANCE,Largecap,Industrials
27-02-2024,TATAPOWER,Largecap,Miscellaneous
27-02-2024,TORNTPHARM,Largecap,Pharmaceuticals
27-02-2024,BAJAJHLDNG,Largecap,Finance
27-02-2024,M&M,Largecap,Auto
27-02-2024,COLPAL,Largecap,FMCG
27-02-2024,SRF,Largecap,Industrials
27-02-2024,MOTHERSON,Largecap,Auto
27-02-2024,MARUTI,Largecap,Auto
27-02-2024,NTPC,Largecap,Miscellaneous
27-02-2024,RECLTD,Largecap,Finance
27-02-2024,COALINDIA,Largecap,Industrials
28-02-2024,DRREDDY,Largecap,Pharmaceuticals
28-02-2024,INFY,Largecap,I.T
28-02-2024,GRASIM,Largecap,Textiles
28-02-2024,MOTHERSON,Largecap,Auto
28-02-2024,UNITDSPR,Largecap,FMCG
28-02-2024,NTPC,Largecap,Miscellaneous
28-02-2024,TECHM,Largecap,I.T
28-02-2024,BAJAJ-AUTO,Largecap,Auto
28-02-2024,INDIGO,Largecap,Services
29-02-2024,SBILIFE,Largecap,Services
29-02-2024,TCS,Largecap,I.T
01-03-2024,ABB,Largecap,FMCG
01-03-2024,IOC,Largecap,Industrials
01-03-2024,IRCTC,Largecap,Miscellaneous
02-03-2024,BEL,Largecap,Aerospace & Defence
02-03-2024,WIPRO,Largecap,I.T
02-03-2024,LICI,Largecap,Services
02-03-2024,IRCTC,Largecap,Miscellaneous
02-03-2024,GAIL,Largecap,Industrials
02-03-2024,CANBK,Largecap,Bank
02-03-2024,TCS,Largecap,I.T
02-03-2024,POWERGRID,Largecap,Miscellaneous
02-03-2024,ADANIPOWER,Largecap,Miscellaneous
04-03-2024,ABB,Largecap,FMCG
04-03-2024,BEL,Largecap,Aerospace & Defence
