date,symbol,marketcapname,sector
09-02-2024,KARURVYSYA,Midcap,Bank
09-02-2024,GESHIP,Midcap,Services
09-02-2024,CASTROLIND,Largecap,Industrials
09-02-2024,CEATLTD,Midcap,Auto
09-02-2024,ELECON,Midcap,FMCG
09-02-2024,MEDANTA,Largecap,Pharmaceuticals
09-02-2024,KAYNES,Largecap,FMCG
09-02-2024,KFINTECH,Midcap,Financial Services
09-02-2024,NSLNISP,Midcap,Metals
09-02-2024,JMFINANCIL,Midcap,Finance
09-02-2024,HUDCO,Largecap,Finance
09-02-2024,NAM-INDIA,Largecap,Finance
09-02-2024,JUBLPHARMA,Midcap,Pharmaceuticals
09-02-2024,ASTERDM,Largecap,Pharmaceuticals
09-02-2024,LEMONTREE,Midcap,Services
09-02-2024,VAIBHAVGBL,Midcap,Miscellaneous
09-02-2024,ENGINERSIN,Midcap,Realty
09-02-2024,SONATSOFTW,Midcap,I.T
09-02-2024,OLECTRA,Midcap,Auto
09-02-2024,JBMA,Largecap,Auto
09-02-2024,IRB,Largecap,Realty
09-02-2024,SHYAMMETL,Largecap,Metals
09-02-2024,MINDACORP,Midcap,Auto
09-02-2024,MGL,Midcap,Industrials
12-02-2024,MMTC,Midcap,Services
13-02-2024,MMTC,Midcap,Services
13-02-2024,ACE,Midcap,FMCG
13-02-2024,NH,Largecap,Pharmaceuticals
14-02-2024,CHENNPETRO,Midcap,Industrials
14-02-2024,EIDPARRY,Midcap,FMCG
14-02-2024,BIRLACORPN,Midcap,Industrials
14-02-2024,AVANTIFEED,Midcap,FMCG
14-02-2024,MMTC,Midcap,Services
14-02-2024,CCL,Midcap,FMCG
14-02-2024,NAM-INDIA,Largecap,Finance
14-02-2024,SWSOLAR,Midcap,Realty
14-02-2024,TRIVENI,Midcap,FMCG
14-02-2024,IOB,Largecap,Bank
14-02-2024,UCOBANK,Largecap,Bank
14-02-2024,SOBHA,Midcap,Realty
14-02-2024,BRIGADE,Largecap,Realty
15-02-2024,HEG,Midcap,FMCG
15-02-2024,WELSPUNLIV,Midcap,Textiles
15-02-2024,PPLPHARMA,Largecap,Pharmaceuticals
15-02-2024,SAFARI,Midcap,FMCG
15-02-2024,METROPOLIS,Midcap,Pharmaceuticals
15-02-2024,FDC,Midcap,Pharmaceuticals
15-02-2024,CAMS,Largecap,Financial Services
15-02-2024,IOB,Largecap,Bank
15-02-2024,RADICO,Largecap,FMCG
15-02-2024,UCOBANK,Largecap,Bank
15-02-2024,FSL,Largecap,I.T
15-02-2024,SPARC,Midcap,Pharmaceuticals
15-02-2024,BRIGADE,Largecap,Realty
15-02-2024,MHRIL,Midcap,Services
15-02-2024,GPPL,Midcap,Industrials
15-02-2024,APLLTD,Largecap,Pharmaceuticals
15-02-2024,TRITURBINE,Largecap,FMCG
15-02-2024,NBCC,Largecap,Realty
15-02-2024,JUSTDIAL,Midcap,I.T
15-02-2024,KIMS,Smallcap,Pharmaceuticals
15-02-2024,ANANDRATHI,Midcap,Finance
15-02-2024,INTELLECT,Midcap,I.T
15-02-2024,BLS,Midcap,I.T
16-02-2024,ARE&M,Largecap,Auto
16-02-2024,KARURVYSYA,Midcap,Bank
16-02-2024,CENTURYTEX,Largecap,Industrials
16-02-2024,BEML,Midcap,Aerospace & Defence
16-02-2024,GODFRYPHLP,Largecap,FMCG
16-02-2024,HFCL,Largecap,Telecom
16-02-2024,HSCL,Largecap,Industrials
16-02-2024,MAHSEAMLES,Midcap,Metals
16-02-2024,CEATLTD,Midcap,Auto
16-02-2024,BBTC,Largecap,Auto
16-02-2024,SWANENERGY,Midcap,Miscellaneous
16-02-2024,PCBL,Largecap,Industrials
16-02-2024,JBCHEPHARM,Largecap,Pharmaceuticals
16-02-2024,GRAPHITE,Midcap,FMCG
16-02-2024,CANFINHOME,Midcap,Finance
16-02-2024,SUNTECK,Midcap,Realty
16-02-2024,AVANTIFEED,Midcap,FMCG
