date,symbol,marketcapname,sector
09-02-2024,FACT,Largecap,Industrials
09-02-2024,GODREJIND,Largecap,Industrials
09-02-2024,ACC,Largecap,Industrials
09-02-2024,PHOENIXLTD,Largecap,Realty
09-02-2024,RVNL,Largecap,Realty
09-02-2024,PRESTIGE,Largecap,Realty
09-02-2024,POLICYBZR,Largecap,I.T
09-02-2024,GUJGASLTD,Largecap,Industrials
09-02-2024,LTTS,Largecap,I.T
12-02-2024,PHOENIXLTD,Largecap,Realty
13-02-2024,ASHOKLEY,Largecap,Auto
13-02-2024,AIAENG,Largecap,Industrials
14-02-2024,HINDPETRO,Largecap,Industrials
14-02-2024,SAIL,Largecap,Metals
14-02-2024,THERMAX,Largecap,FMCG
14-02-2024,ISEC,Largecap,Services
14-02-2024,MAHABANK,Largecap,Bank
14-02-2024,TORNTPOWER,Largecap,Miscellaneous
14-02-2024,FORTIS,Largecap,Pharmaceuticals
14-02-2024,GUJGASLTD,Largecap,Industrials
15-02-2024,SUNDARMFIN,Largecap,Finance
15-02-2024,GODREJIND,Largecap,Industrials
15-02-2024,MFSL,Largecap,Finance
15-02-2024,AJANTPHARM,Largecap,Pharmaceuticals
15-02-2024,BIOCON,Largecap,Pharmaceuticals
15-02-2024,YESBANK,Largecap,Bank
15-02-2024,AIAENG,Largecap,Industrials
15-02-2024,JSWENERGY,Largecap,Miscellaneous
15-02-2024,LTF,Largecap,Finance
15-02-2024,KALYANKJIL,Largecap,Miscellaneous
15-02-2024,ENDURANCE,Largecap,Auto
16-02-2024,CRISIL,Largecap,Miscellaneous
16-02-2024,SAIL,Largecap,Metals
16-02-2024,PATANJALI,Largecap,FMCG
16-02-2024,ASHOKLEY,Largecap,Auto
16-02-2024,TATACOMM,Largecap,Telecom
16-02-2024,INDHOTEL,Largecap,Services
16-02-2024,APOLLOTYRE,Largecap,Auto
16-02-2024,MSUMI,Largecap,Auto
16-02-2024,KEI,Largecap,Industrials
16-02-2024,BSE,Largecap,Financial Services
16-02-2024,GICRE,Largecap,Services
16-02-2024,NIACL,Largecap,Services
16-02-2024,MAXHEALTH,Largecap,Pharmaceuticals
16-02-2024,AJANTPHARM,Largecap,Pharmaceuticals
16-02-2024,BIOCON,Largecap,Pharmaceuticals
16-02-2024,MAHABANK,Largecap,Bank
16-02-2024,YESBANK,Largecap,Bank
